customer_id,first_name,last_name,gender,age,country,income
CS00001,Isadora,Porto,Female,19,Brazil,117196
CS00002,Hugo,Carreño,Male,33,Chile,49256
CS00003,René,Olivera,Male,65,Mexico,33434
CS00004,Luiz Henrique,Pinto,Male,55,Brazil,75302
CS00005,Leonardo,Monteiro,Male,19,Brazil,32280
CS00006,Lourdes,Salas,Female,32,Mexico,86237
CS00007,João Miguel,Fernandes,Male,53,Brazil,46062
CS00008,María,Paz,Female,32,Colombia,78878
CS00009,Elizabeth,Jara,Female,18,Chile,119458
CS00010,Cynthia,Ruiz,Male,62,Mexico,75392
CS00011,Ramon,Saavedra,Male,35,Chile,40379
CS00012,Yeni,Laboy,Female,39,Mexico,33396
CS00013,Helena,Pereira,Female,42,Brazil,32676
CS00014,Alejandro,González,Male,40,Chile,99131
CS00015,Matías,Muñoz,Male,20,Chile,115647
CS00016,Francisco,Torres,Male,52,Colombia,36361
CS00017,Diana,Rodríguez,Female,23,Colombia,92357
CS00018,Rigoberto,Gallardo,Male,58,Chile,101070
CS00019,Sebastián,Alarcón,Male,54,Chile,45203
CS00020,Nathan,Melo,Male,20,Brazil,106673
CS00021,Jerónimo,Alemán,Female,36,Mexico,149134
CS00022,Joaquim,Gomes,Male,32,Brazil,133571
CS00023,Lívia,Cardoso,Female,42,Brazil,56434
CS00024,Liliana,Burbano,Female,58,Colombia,129328
CS00025,Victoria,Alegría,Female,28,Chile,68520
CS00026,Paula,Fernández,Female,31,Chile,107841
CS00027,Diego,Navarrete,Male,62,Chile,142769
CS00028,Gabriel,Jesus,Male,56,Brazil,103227
CS00029,Antonio,Gallardo,Male,52,Mexico,115568
CS00030,Francisco,Cornejo,Female,28,Mexico,80589
CS00031,Lorena,Sanabria,Female,35,Colombia,149698
CS00032,Javier,Hinojosa,Female,61,Mexico,62504
CS00033,Esther,Ribeiro,Female,32,Brazil,127715
CS00034,Ana Beatriz,Mendes,Female,38,Brazil,72581
CS00035,Antonio,González,Male,22,Chile,47653
CS00036,Héctor,Toledo,Male,31,Chile,105909
CS00037,María,Carrillo,Female,43,Colombia,135957
CS00038,Alexander,Mena,Male,27,Colombia,54718
CS00039,Gabino,Ordóñez,Male,33,Mexico,117647
CS00040,Manuel,Correa,Male,65,Chile,96622
CS00041,Carmenza,Manrique,Female,55,Colombia,72350
CS00042,Felipe,Ibarra,Male,32,Chile,38131
CS00043,José,Ríos,Male,23,Colombia,119061
CS00044,Joaquim,da Mota,Male,25,Brazil,40033
CS00045,Rosario,Mena,Female,61,Mexico,75333
CS00046,Valentina,Moura,Female,42,Brazil,70019
CS00047,Armando,Barrera,Male,51,Colombia,52953
CS00048,Evelyn,da Cruz,Female,61,Brazil,114466
CS00049,Marcelo,Duarte,Male,61,Brazil,135970
CS00050,Juan,Navarro,Male,59,Chile,64587
CS00051,Matheus,Dias,Male,36,Brazil,76985
CS00052,Felix,Velázquez,Female,47,Mexico,20425
CS00053,Cristopher,Rodríguez,Male,50,Chile,119871
CS00054,Raquel,Zedillo,Male,50,Mexico,139619
CS00055,Pedro Lucas,Melo,Male,58,Brazil,59117
CS00056,Óscar,Quezada,Male,27,Mexico,69009
CS00057,Mónica,Beltrán,Female,52,Mexico,144977
CS00058,Júlia,Santos,Female,56,Brazil,62487
CS00059,Luisa,Orozco,Female,19,Colombia,34662
CS00060,Astrid,Figueroa,Female,37,Chile,51385
CS00061,Guilherme,Dias,Male,33,Brazil,135082
CS00062,Lucas Gabriel,Campos,Male,23,Brazil,115932
CS00063,Angélica,Mosquera,Female,22,Colombia,148186
CS00064,Enrique,Sanabria,Male,26,Mexico,106474
CS00065,Alexis,Castillo,Male,53,Colombia,41643
CS00066,Johanna,Contreras,Female,51,Chile,134351
CS00067,Marlon,Cano,Male,31,Colombia,141754
CS00068,Sandra,Estrada,Male,63,Mexico,60857
CS00069,Angélica,Sánchez,Female,60,Colombia,105180
CS00070,Jorge,Correa,Male,46,Chile,137914
CS00071,Paola,Ortiz,Female,25,Colombia,52493
CS00072,Alma,Santiago,Female,22,Mexico,64313
CS00073,Calebe,Martins,Male,55,Brazil,92603
CS00074,Fidel,Villaseñor,Female,55,Mexico,48864
CS00075,Emilly,Fernandes,Female,22,Brazil,112778
CS00076,Enzo Gabriel,Gonçalves,Male,32,Brazil,28834
CS00077,Augusto,Fogaça,Male,39,Brazil,29287
CS00078,Abelardo,Vergara,Female,35,Mexico,107684
CS00079,Aura,Rojas,Female,31,Colombia,90678
CS00080,Jerónimo,Rocha,Male,64,Mexico,142619
CS00081,Nayibe,Arias,Female,33,Colombia,122841
CS00082,Antonio,Rivera,Male,44,Colombia,44957
CS00083,Kevin,Teixeira,Male,24,Brazil,106374
CS00084,Óscar,Ramírez,Male,40,Colombia,75519
CS00085,Alexander,Beltrán,Male,47,Colombia,133224
CS00086,Emanuel,Almeida,Male,61,Brazil,105649
CS00087,Pedro,Carvalho,Male,21,Brazil,72772
CS00088,Bárbara,Rodríguez,Female,24,Chile,52591
CS00089,Violeta,Cardenas,Female,30,Mexico,90292
CS00090,Albeiro,García,Male,26,Colombia,75296
CS00091,Florencia,Barraza,Female,35,Mexico,80637
CS00092,Miriam,Velásquez,Male,22,Mexico,78082
CS00093,Pedro,Dias,Male,21,Brazil,105477
CS00094,Clara,Sales,Female,23,Brazil,141420
CS00095,Claudio,Armas,Female,28,Mexico,73269
CS00096,Ferney,Martínez,Male,48,Colombia,48016
CS00097,Fernanda,Flórez,Female,21,Colombia,41579
CS00098,Diego,Hoyos,Male,18,Colombia,149146
CS00099,Marcela,Lozano,Female,34,Colombia,141440
CS00100,Duván,Sierra,Male,36,Colombia,75444
CS00101,Carlos,Sánchez,Male,27,Colombia,44890
CS00102,Ariela,Rojas,Female,31,Chile,146970
CS00103,Stella,Almeida,Female,55,Brazil,116434
CS00104,Olivia,Cardoso,Female,65,Brazil,61104
CS00105,Lucas Gabriel,da Paz,Male,21,Brazil,96569
CS00106,Alberto,Mendoza,Male,50,Colombia,140505
CS00107,Aurora,Montero,Female,21,Mexico,145931
CS00108,Stephany,Jesus,Female,29,Brazil,28981
CS00109,Lucca,da Cunha,Male,61,Brazil,132960
CS00110,Reynaldo,Bueno,Male,43,Mexico,35713
CS00111,Anel,Acuña,Female,55,Mexico,97924
CS00112,Catarina,Barros,Female,57,Brazil,30745
CS00113,Camilo,Lozano,Male,60,Colombia,96503
CS00114,Maximiliano,Hormazábal,Male,34,Chile,46772
CS00115,Leonardo,Valdés,Male,33,Chile,54814
CS00116,Jenny,Castillo,Female,26,Colombia,108039
CS00117,Domingo,Sanhueza,Male,47,Chile,61441
CS00118,Maria Fernanda,Rocha,Female,18,Brazil,80068
CS00119,Vitória,Barbosa,Female,22,Brazil,90468
CS00120,Silvano,Almaraz,Female,50,Mexico,54760
CS00121,Úrsula,Alba,Male,40,Mexico,135456
CS00122,Cauê,Mendes,Male,33,Brazil,68434
CS00123,Karol,Adasme,Female,28,Chile,77433
CS00124,Damián,Álvarez,Male,57,Chile,148955
